kepid,tce_plnt_num,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_duration,tce_duration_err,av_training_set
1162345,2,0.83185,6.69E-05,132.227,3.52E-02,2.392,2.10E+01,AFP
1292087,2,1.09524,1.01E-05,132.133,2.69E-03,2.122,4.76E-01,UNK
1293031,2,0.719273,1.39E-05,132.227,2.79E-03,1.521,3.18E-01,UNK
1162345,3,0.831833,9.43E-06,131.919,2.21E-03,2.181,1.21E+00,AFP
1164109,1,622.408,8.55E-03,162.256,9.84E-03,12.01,1.84E+00,UNK
757450,1,8.88492,1.19E-06,134.452,1.01E-04,2.078,2.40E-02,PC
892667,1,2.26211,2.73E-05,132.171,6.53E-03,7.509,5.20E+00,NTP
892772,1,5.0926,3.14E-05,133.451,4.82E-03,3.399,2.43E-01,AFP
1026032,1,8.46044,3.82E-07,133.774,3.82E-05,4.804,2.01E-03,UNK
1026032,2,4.23022,7.33E-07,133.998,1.39E-04,4.606,6.93E-03,UNK
1026133,2,2.69191,2.13E-05,132.267,4.65E-03,5.53,1.30E+00,UNK
1026133,1,1.34629,2.25E-05,132.842,1.18E-02,1.626,2.71E-01,UNK
1028018,1,0.614378,9.73E-06,131.652,1.01E-03,1.448,2.51E-01,UNK
1026957,1,21.7613,1.00E-05,144.779,3.85E-04,1.277,3.74E-02,AFP
1160891,1,0.940463,2.62E-05,132.4,5.99E-03,3.354,2.66E+00,AFP
1160891,2,0.940463,8.05E-06,131.66,3.44E-02,3.332,7.31E-01,AFP
1160891,3,0.94052,7.88E-06,132.025,1.62E-03,3.188,1.75E+00,AFP
1162150,2,0.778568,9.10E-06,131.662,2.05E-03,1.399,8.44E-01,AFP
1162150,1,0.778574,7.10E-06,131.98,1.48E-03,1.361,1.47E-01,AFP
1161345,1,4.28758,1.12E-06,133.434,1.52E-04,1.113,4.04E-02,PC
1162150,3,1.28453,2.59E-05,132.236,1.07E-02,4.175,2.66E+00,UNK
1293031,1,1.07861,1.27E-05,132.563,3.91E-03,3.461,1.36E+00,UNK
1162345,1,0.831777,1.14E-05,131.698,2.56E-03,2.349,1.75E+00,AFP
1292087,1,0.547626,2.34E-05,131.888,4.09E-03,1.408,5.43E-01,NTP
1573174,2,0.748347,7.79E-06,131.886,2.49E-03,2.897,4.17E+00,AFP
1574792,1,1.39175,1.49E-05,131.572,4.11E-03,3.33,6.28E-01,NTP
1575690,1,1.1262,1.57E-07,132.441,3.29E-05,1.632,1.22E-02,AFP
1575873,1,0.629008,7.19E-06,131.551,1.21E-03,1.421,4.80E-01,AFP
1865567,1,0.674634,1.04E-05,131.702,3.59E-03,2.16,3.48E+00,NTP
1865567,2,1.34942,8.02E-06,132.595,2.33E-03,3.159,3.00E-01,AFP
1865567,3,1.34947,7.25E-06,131.992,1.65E-03,2.005,6.79E-02,AFP
2019227,1,2.98032,3.38E-05,132.415,6.65E-03,8.03,3.86E+00,NTP
2019297,1,3.79424,3.17E-05,132.645,5.12E-03,6.716,1.07E+00,UNK
2019477,1,27.2481,4.85E-04,131.912,1.54E-02,10.76,1.04E+00,PC
2167600,1,1.69146,3.00E-05,132.463,1.34E-02,2.232,5.37E-01,NTP
2167600,2,3.38294,3.55E-05,131.639,6.20E-03,4.822,1.07E+00,AFP
2167600,3,3.38292,5.29E-05,133.417,1.09E-02,7.093,1.27E+00,AFP
2167783,1,0.862877,8.45E-06,132.072,1.86E-03,1.854,6.95E-01,UNK
2306740,2,10.3069,0.00E+00,133.432,0.00E+00,7.5,0.00E+00,AFP
2306740,3,10.307,6.17E-06,138.748,4.62E-04,18.64,3.45E-01,AFP
2307197,1,449.504,2.02E-02,266.033,2.34E-02,9.138,6.74E+00,UNK
2307199,1,13.4472,1.02E-05,132.83,6.30E-04,2.33,1.84E-01,AFP
2439211,2,0.499972,2.04E-05,131.62,4.31E-03,1.385,1.24E+00,AFP
2439243,1,26.0204,1.65E-04,154.527,5.39E-03,4.737,1.21E+00,PC
