,kepid,tce_plnt_num,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_duration,tce_duration_err,av_training_set
19284,11030475,2,0.761942,5.49e-06,132.037,0.000979,1.118,0.0772,PC
10676,7533694,4,0.675334,0.0,131.725,0.0,2.5,0.0,AFP
10697,7702705,2,138.851,0.00157,159.581,0.00906,6.854,0.932,UNK
9649,7974032,3,0.504736,0.0,132.014,0.0,1.5,0.0,AFP
5666,5123624,1,0.935601,1.1e-05,132.377,0.00192,0.8627,0.097,AFP
2052,4851338,1,1.23516,1.29e-05,131.984,0.00455,3.435,2.74,AFP
718,2989706,1,1.25767,2.04e-06,132.511,0.000383,1.095,0.128,AFP
9548,6865077,3,0.60673,1.66e-05,131.68,0.0064,1.986,9.25,UNK
8993,6784155,3,0.748076,0.0,132.034,0.0,2.0,0.0,UNK
11851,8700537,2,43.798,0.00064,172.594,0.0121,6.124,1.02,AFP
10311,7967100,1,1.92731,1.46e-07,132.362,3.17e-05,2.063,0.00398,UNK
6232,6366512,2,0.584921,1.13e-05,131.621,0.00167,1.922,0.884,AFP
13984,9456651,2,10.2748,0.000441,141.218,0.0705,15.21,3.18,AFP
16573,9716220,1,0.770679,1.09e-05,131.746,0.00382,2.471,3.5,AFP
19701,11974942,3,5.20438,9.85e-05,135.885,0.0124,11.86,3.49,AFP
13240,8278073,1,12.0732,0.000138,142.423,0.0095,4.117,1.04,PC
3771,5385491,2,12.4257,0.000256,133.968,0.0167,18.53,0.257,AFP
10438,7985167,1,0.692232,7.61e-08,131.59,1.9e-05,2.537,0.00118,UNK
17681,11303811,2,1.7058,1.05e-06,132.295,0.000134,0.8429,0.0771,AFP
13845,9366886,1,0.633508,5.08e-06,131.566,0.000944,1.232,0.431,AFP
251,2558370,1,0.54625,3.13e-06,131.581,0.000262,1.073,0.0454,PC
11662,8645191,3,0.689195,8.13e-06,131.911,0.00118,1.03,0.0787,AFP
11439,7741048,1,0.843389,9.65e-06,131.582,0.00218,1.405,0.151,UNK
702,2584879,1,0.598688,2.1e-05,131.745,0.0056,2.198,6.28,AFP
3067,4059007,1,558.877,0.136,442.325,0.153,10.43,11.3,NTP
12489,8543278,1,7.5493,2.11e-07,135.011,2.14e-05,2.478,0.00211,UNK
4552,5647514,1,0.874679,4.79e-06,132.004,0.000997,2.285,0.493,AFP
4097,5471574,2,12.4254,0.00018,141.534,0.0119,19.12,0.21,AFP
20345,11717240,1,1.0355,1.43e-05,131.652,0.00586,3.416,10.2,NTP
11993,8490255,3,0.74077,1.78e-05,131.534,0.00359,1.887,0.455,UNK
3693,4243984,1,0.527253,1.51e-05,132.431,0.00683,0.8631,0.339,UNK
8623,6778063,2,0.701972,3.36e-05,131.674,0.00949,1.126,0.293,AFP
9858,8162376,1,0.706434,8.14e-06,132.136,0.00141,1.087,0.24,AFP
11173,7583939,3,0.721843,3.18e-05,131.833,0.0116,1.955,10.9,UNK
5271,5294571,1,0.9219,4.44e-05,132.141,0.00545,5.006,16.1,AFP
6507,6117415,1,19.7417,0.0,136.438,0.0,2.5,0.0,UNK
1333,3097352,1,4.0298,4.77e-07,134.422,0.000112,4.328,0.00702,AFP
10131,8008206,1,20.729,5.46e-05,143.975,0.00225,2.837,0.296,PC
13391,8450600,4,0.641547,0.0,131.813,0.0,2.0,0.0,UNK
3897,5390694,2,1.59225,2.31e-05,132.472,0.00613,3.486,2.04,AFP
15986,10259031,1,7.06114,1.05e-05,134.559,0.00117,3.416,0.0898,AFP
10645,7747091,1,14.2673,0.000118,133.963,0.00695,3.386,0.515,PC
1844,4679988,2,5.38741,8.84e-05,131.941,0.0119,8.758,1.57,AFP
13547,9411166,2,105.655,0.000638,230.102,0.00498,9.222,1.07,PC
18194,11098069,1,18.941,0.000227,135.528,0.00915,14.96,0.277,NTP
1989,4842166,3,0.583217,1.1e-05,131.848,0.00381,2.32,5.67,NTP
696,2450716,1,1.38608,2.93e-05,131.593,0.0104,2.492,2.7,UNK
19886,12061969,2,1.09,8.95e-06,131.585,0.00194,1.337,0.119,PC
6134,6113806,1,0.933755,1.37e-05,131.542,0.00565,2.526,5.96,AFP
2031,4669402,1,143.195,0.00242,227.302,0.0118,10.46,0.831,NTP
12719,8454553,1,0.976758,6.32e-05,132.346,0.00821,1.564,0.648,UNK
6157,6276791,1,9.32862,3.69e-05,135.879,0.00301,1.561,0.249,PC
17727,11152649,2,0.502573,9.51e-06,131.634,0.00124,0.9821,0.111,AFP
17015,9787065,1,438.323,0.00764,355.158,0.0111,3.564,1.43,UNK
33,2019477,1,27.2481,0.000485,131.912,0.0154,10.76,1.04,PC
8776,6543674,1,1.19551,0.0,132.308,0.0,3.5,0.0,AFP
18814,10663396,1,23.8988,0.000131,151.407,0.00447,15.86,0.425,PC
6051,6381306,1,0.528712,3.5e-05,131.73,0.00294,1.492,0.242,AFP
5653,5020044,1,2.11906,4.53e-06,132.604,0.00113,3.741,0.223,AFP
11794,8748251,3,2.68751,1.15e-05,133.573,0.00185,6.011,0.478,UNK
17740,11288686,2,0.509368,1.97e-05,131.765,0.00375,1.643,1.3,AFP
1029,3114667,1,0.888587,0.0,132.095,0.0,1.5,0.0,AFP
8401,6947064,1,2.98375,3.63e-05,132.061,0.00747,10.1,2.86,AFP
1794,4758350,2,91.6478,0.00115,175.738,0.0105,6.305,1.55,NTP
15557,10214162,1,17.4239,7.2e-05,148.829,0.00365,4.206,0.674,PC
20165,11713245,1,2.08387,2.43e-05,131.997,0.00584,6.119,6.08,UNK
11923,8804845,2,0.762128,6.53e-06,131.622,0.00114,1.181,0.112,PC
16074,10484817,3,0.934248,1.11e-05,132.174,0.00232,1.453,0.128,NTP
8890,6520011,2,4.79219,5.34e-05,135.085,0.00779,11.43,2.73,AFP
7301,5791986,1,15.229,1.76e-05,146.102,0.000907,2.488,0.256,PC
6091,6269070,1,2.76121,1.07e-05,131.613,0.00212,3.592,0.163,PC
14169,9489626,2,0.502836,1.72e-05,131.747,0.00203,1.214,1.31,AFP
11410,7523115,1,1.19293,1.05e-05,131.639,0.00314,3.831,3.75,NTP
8866,6762992,3,0.562148,9.4e-06,131.841,0.000936,0.6341,0.0922,AFP
14774,9108085,1,2.17492,7.43e-06,131.948,0.00196,3.757,0.342,AFP
5405,4945266,1,1.1977,1.12e-05,131.83,0.00283,2.971,0.41,UNK
8613,6715809,4,0.599708,0.0,132.03,0.0,2.0,0.0,UNK
5519,5372141,1,6.48925,2.01e-05,132.369,0.00193,15.0,2.44,AFP
6991,5716330,1,3.13739,5.82e-05,131.957,0.0123,8.917,7.27,AFP
2775,4150611,1,8.65313,1.66e-06,136.656,0.000147,3.904,0.0431,AFP
4415,5564325,2,0.744943,1.03e-05,131.721,0.0022,1.511,0.36,AFP
2665,4860932,2,12.3659,5.48e-05,137.87,0.00358,3.977,0.676,AFP
